variant,direction,entry_ts,entry_price,exit_ts,exit_price,sl,tp,atr,reason,bars_held,peak_price,peak_pips,pnl_pips,net_pips
CANON,short,2026-02-04T16:40:00+00:00,4967.64,2026-02-04T16:45:00+00:00,4889.99357,5006.46321,4889.99357,25.88214,tp,1,4870.82,968.2,776.46,772.26
CANON,long,2026-02-05T08:15:00+00:00,4942.19,2026-02-05T08:25:00+00:00,4922.72643,4922.72643,4981.11714,12.97571,sl,2,4942.19,0.0,-194.64,-198.84
CANON,short,2026-02-05T15:45:00+00:00,4805.88,2026-02-05T16:20:00+00:00,4841.99143,4841.99143,4733.65714,24.07429,sl,7,4805.88,0.0,-361.11,-365.31
CANON,long,2026-02-06T08:15:00+00:00,4853.67,2026-02-06T11:00:00+00:00,4884.21,4838.4,4884.21,10.18,tp,33,4880.25,265.8,305.4,301.2
CANON,long,2026-02-06T14:55:00+00:00,4947.44,2026-02-06T16:25:00+00:00,4925.17786,4925.17786,4991.96429,14.84143,sl,18,4957.63,101.9,-222.62,-226.82
CANON,long,2026-02-09T08:20:00+00:00,5021.2,2026-02-09T09:50:00+00:00,5008.405,5008.405,5046.79,8.53,sl,18,5032.6,114.0,-127.95,-132.15
CANON,long,2026-02-09T14:45:00+00:00,5037.26,2026-02-09T16:00:00+00:00,5066.22929,5022.77536,5066.22929,9.65643,tp,15,5067.07,298.1,289.69,285.49
CANON,long,2026-02-10T08:20:00+00:00,5041.08,2026-02-10T09:05:00+00:00,5061.37929,5030.93036,5061.37929,6.76643,tp,9,5057.68,166.0,202.99,198.79
CANON,short,2026-02-10T14:55:00+00:00,5053.54,2026-02-10T15:35:00+00:00,5020.29571,5070.16214,5020.29571,11.08143,tp,8,5007.72,458.2,332.44,328.24
CANON,short,2026-02-11T08:15:00+00:00,5051.85,2026-02-11T09:35:00+00:00,5061.00536,5061.00536,5033.53929,6.10357,sl,16,5048.0,38.5,-91.55,-95.75
CANON,long,2026-02-11T16:40:00+00:00,5076.16,2026-02-11T23:10:00+00:00,5060.46036,5060.46036,5107.55929,10.46643,sl,66,5096.09,199.3,-157.0,-161.2
CANON,short,2026-02-12T08:35:00+00:00,5063.76,2026-02-12T08:55:00+00:00,5070.80893,5070.80893,5049.66214,4.69929,sl,4,5061.92,18.4,-70.49,-74.69
CANON,short,2026-02-12T14:45:00+00:00,5053.66,2026-02-12T15:15:00+00:00,5067.31107,5067.31107,5026.35786,9.10071,sl,6,5044.59,90.7,-136.51,-140.71
CANON,short,2026-02-13T09:35:00+00:00,4972.3,2026-02-13T10:55:00+00:00,4951.63214,4982.63393,4951.63214,6.88929,tp,16,4950.13,221.7,206.68,202.48
CANON,long,2026-02-13T15:40:00+00:00,5011.33,2026-02-13T15:45:00+00:00,4990.6375,4990.6375,5052.715,13.795,sl,1,5011.33,0.0,-206.93,-211.13
CANON,long,2026-02-16T09:00:00+00:00,5013.34,2026-02-16T10:20:00+00:00,5005.76286,5005.76286,5028.49429,5.05143,sl,16,5015.71,23.7,-75.77,-79.97
CANON,short,2026-02-16T15:05:00+00:00,4983.55,2026-02-16T17:00:00+00:00,4992.43857,4992.43857,4965.77286,5.92571,sl,23,4975.11,84.4,-88.89,-93.09
CANON,short,2026-02-17T08:40:00+00:00,4916.62,2026-02-17T09:00:00+00:00,4926.74821,4926.74821,4896.36357,6.75214,sl,4,4916.62,0.0,-101.28,-105.48
CANON,short,2026-02-17T14:45:00+00:00,4867.29,2026-02-17T18:50:00+00:00,4896.01607,4896.01607,4809.83786,19.15071,sl,49,4854.08,132.1,-287.26,-291.46
CANON,short,2026-02-18T08:20:00+00:00,4926.74,2026-02-18T09:00:00+00:00,4914.71643,4932.75179,4914.71643,4.00786,tp,8,4915.01,117.3,120.24,116.04
